id,name,description
L11482174,Área General," country: UY, region: UY-CA (Jaureguiberry)"
L5632436,Playa Mansa," country: UY, region: UY-MA (Jose Ignacio)"
L2761833,Área General," country: UY, region: UY-MA (José Ignacio Balneario)"
L2761827,Playa Brava," country: UY, region: UY-MA (José Ignacio)"
L16757670,Sitio y alrededores," country: UY, region: UY-TT (Jual Bilú)"
L10278614,Área General," country: UY, region: UY-CO (Juan Lacaze)"
L8441304,Kiyu," country: UY, region: UY-SJ (Kiyu)"
L18115215,Área General," country: UY, region: UY-RO (La Aguada)"
L20347678,La Atahona," country: UY, region: UY-FS (La Atahona)"
L2762166,Balneario," country: UY, region: UY-MA (La Barra)"
L11109334,La Boyada," country: UY, region: UY-SJ (La Boyada)"
L2761633,Tajamar," country: UY, region: UY-LA (La Caperuza)"
L2763555,"La Charqueada, Treinta y Tres"," country: UY, region: UY-TT (La Charqueada, Treinta y Tres)"
L7390157,La Concordia," country: UY, region: UY-SO (La Concordia)"
L2762147,La Coronilla (pueblo)," country: UY, region: UY-RO (La Coronilla (pueblo))"
L12027432,Boca de Canal Andreoni," country: UY, region: UY-RO (La Coronilla)"
L7857328,Puente colgante," country: UY, region: UY-RO (La Coronilla)"
L2763220,La Estacada," country: UY, region: UY-MO (La Estacada)"
L15706363,Bahia Chica)," country: UY, region: UY-RO (La Paloma (Balconada)"
L2763276,Balneario," country: UY, region: UY-RO (La Paloma)"
L2763503,Isla la Tuna," country: UY, region: UY-RO (La Paloma)"
L12557774,Playa del Faro," country: UY, region: UY-RO (La Paloma)"
L2761576,Puerto," country: UY, region: UY-RO (La Paloma)"
L2763392,Los Botes," country: UY, region: UY-RO (La Paloma)"
L20663600,La Pantanosa," country: UY, region: UY-RO (La Pantanosa)"
L6236863,Balneario," country: UY, region: UY-RO (La Pedrera)"
L8369837,La Perla," country: UY, region: UY-RO (La Perla)"
L19513365,Establecimiento Turístico," country: UY, region: UY-MA (La Serena)"
L16996674,Cabañas," country: UY, region: UY-SA (Lago Salto Grande)"
L15962362,Lago W de Carrasco (con isla)," country: UY, region: UY-CA (Lago W de Carrasco (con isla))"
L2763242,Lagos Cicsa," country: UY, region: UY-CA (Lagos Cicsa)"
L2763606,"Lagos, S.J. de Carrasco y Lagomar"," country: UY, region: UY-CA (Lagos, S.J. de Carrasco y Lagomar)"
L15962243,Laguito Carrasco," country: UY, region: UY-CA (Laguito Carrasco)"
L19462863,Ruta 8 km 433.5," country: UY, region: UY-CL (Laguna Estancia Tucumán)"
L13336740,El Caracol," country: UY, region: UY-RO (Laguna Garzon)"
L7129029,El Bonete," country: UY, region: UY-RO (Laguna Garzón)"
L9653918,Área general (IBA)," country: UY, region: UY-MA (Laguna José Ignacio)"
L2762951,Área sur y Desembocadura," country: UY, region: UY-MA (Laguna José Ignacio)"
L2761691,Laguna Maravillas de La Palma," country: UY, region: UY-RV (Laguna Maravillas de La Palma)"
L2763647,Colonia Don Bosco," country: UY, region: UY-RO (Laguna Negra)"
L604235,Área general," country: UY, region: UY-RO (Laguna Negra)"
L4013891,Refugio de fauna," country: UY, region: UY-RO (Laguna de Castillos)"
L8011635,Área general," country: UY, region: UY-RO (Laguna de Castillos)"
L11795498,Laguna de las Lavanderas," country: UY, region: UY-TA (Laguna de las Lavanderas)"
L19019389,Laguna de los Flamencos Rosados," country: UY, region: UY-MA (Laguna de los Flamencos Rosados)"
L2761654,Laguna del Cisne," country: UY, region: UY-CA (Laguna del Cisne)"
L2761590,Laguna del Diario," country: UY, region: UY-MA (Laguna del Diario)"
